ທີ່ ▁ທີ່
ແລະ ▁ແລະ
ຂອງ ▁ຂອງ
ໄດ້ ▁ໄດ້
ໃນ ▁ໃນ
ຈະ ▁ຈະ
ເປັນ ▁ເປັນ
ການ ▁ການ
ວ່າ ▁ວ່າ
ເຮົາ ▁ເຮົາ
ໃຫ້ ▁ໃຫ້
ຄວາມ ▁ຄວາມ
ມີ ▁ມີ
ເຈົ້າ ▁ເຈົ້າ
ບໍ່ ▁ບໍ່
ຄົນ ▁ຄົນ
ພະ ▁ພະ
ນັ້ນ ▁ນັ້ນ
ຜູ້ ▁ຜູ້
ກັບ ▁ກັບ
ໄປ ▁ໄປ
ໃຈ ▁ໃຈ
ຢູ່ ▁ຢູ່
ນີ້ ▁ນີ້
ມາ ▁ມາ
ພຣະ ▁ພຣະ
ເຂົາ ▁ເຂົາ
ຈາກ ▁ຈາກ
ພວກ ▁ພວກ
ແຕ່ ▁ແຕ່
ເຖິງ ▁ເຖິງ
ເຮັດ ▁ເຮັດ
ທ່ານ ▁ທ່ານ
ຢ່າງ ▁ຢ່າງ
ໃດ ▁ໃດ
ກໍ ▁ກໍ
ສະ ▁ສະ
ຮັບ ▁ຮັບ
ຄໍາ ▁ຄໍາ
ສິ່ງ ▁ສິ່ງ
ເພື່ອ ▁ເພື່ອ
ຕໍ່ ▁ຕໍ່
ລາວ ▁ລາວ
ແລ້ວ ▁ແລ້ວ
ພະອົງ ▁ພະອົງ
ເມື່ອ ▁ເມື່ອ
ເຍຊູ ▁ເຍຊູ
ທາງ ▁ທາງ
ທັງ ▁ທັງ
ຫນຶ່ງ ▁ຫນຶ່ງ
ຖືກ ▁ຖືກ
ແມ່ນ ▁ແມ່ນ
ດ້ວຍ ▁ດ້ວຍ
ຮູ້ ▁ຮູ້
ປະ ▁ປະ
ກັນ ▁ກັນ
ໃຊ້ ▁ໃຊ້
ຫຼາຍ ▁ຫຼາຍ
ດີ ▁ດີ
ມັນ ▁ມັນ
ເຫັນ ▁ເຫັນ
ເຂົ້າ ▁ເຂົ້າ
ຕາມ ▁ຕາມ
ລູກ ▁ລູກ
ຂ້າພະ ▁ຂ້າພະ
ແຫ່ງ ▁ແຫ່ງ
ຂຶ້ນ ▁ຂຶ້ນ
ໄວ້ ▁ໄວ້
ກ່າວ ▁ກ່າວ
ຊີວິດ ▁ຊີວິດ
ພະເຈົ້າ ▁ພະເຈົ້າ
ເອົາ ▁ເອົາ
ອອກ ▁ອອກ
ຫາ ▁ຫາ
ໂດຍ ▁ໂດຍ
ຖ້າ ▁ຖ້າ
ສອນ ▁ສອນ
ທຸກ ▁ທຸກ
ເລື່ອງ ▁ເລື່ອງ
ໂລກ ▁ໂລກ
ສາມາດ ▁ສາມາດ
ຫລາຍ ▁ຫລາຍ
ຕ້ອງ ▁ຕ້ອງ
ຕົວ ▁ຕົວ
ຫລື ▁ຫລື
ເຢໂຫວາ ▁ເຢໂຫວາ
ຫນ້າ ▁ຫນ້າ
ຈິງ ▁ຈິງ
ສຸດ ▁ສຸດ
ຂ້າ ▁ຂ້າ
ນໍາ ▁ນໍາ
ຈັກ ▁ຈັກ
ຄື ▁ຄື
ເອງ ▁ເອງ
ເຊິ່ງ ▁ເຊິ່ງ
ອັນ ▁ອັນ
ບອກ ▁ບອກ
ຈຶ່ງ ▁ຈຶ່ງ
ຊາຍ ▁ຊາຍ
ອາດ ▁ອາດ
ເບິ່ງ ▁ເບິ່ງ
ກ່ຽວ ▁ກ່ຽວ
ລະ ▁ລະ
ຫຍັງ ▁ຫຍັງ
ອົງ ▁ອົງ
ຫຼື ▁ຫຼື
ອີກ ▁ອີກ
ຊາວ ▁ຊາວ
ກວ່າ ▁ກວ່າ
ແນວ ▁ແນວ
ຊ່ວຍ ▁ຊ່ວຍ
ເພິ່ນ ▁ເພິ່ນ
ດັ່ງ ▁ດັ່ງ
ເກີດ ▁ເກີດ
ທໍາ ▁ທໍາ
ແກ່ ▁ແກ່
ຄິດ ▁ຄິດ
ບ່ອນ ▁ບ່ອນ
ຍັງ ▁ຍັງ
ສໍາລັບ ▁ສໍາລັບ
ແບບ ▁ແບບ
ເວົ້າ ▁ເວົ້າ
ຂໍ ▁ຂໍ
ໃຫຍ່ ▁ໃຫຍ່
ນາງ ▁ນາງ
ຍານ ▁ຍານ
ເພາະ ▁ເພາະ
ຂ້ອຍ ▁ຂ້ອຍ
ເຊື່ອ ▁ເຊື່ອ
ສອງ ▁ສອງ
