2,4-ດີອີເອສ	2,4-滴乙基硫酸钠
2,4-ໄດໄນໂຕຣຟີນອລ	2,4-二硝酚
ກຄາຍ	杏树
ກຣາຟິກແບບທໍ່ຕັ້ງ	横条图
ກຣາມ	克
ກຣາມ	公克
ກຣາມ	公分
ກຣາມ	瓦
ກຣາມ	祖母
ກຣາມ	鹰嘴豆
ກຣິສຕ໌	基督
ກລີເຊີໄຣດ	甘油二酯
ກລີເຊີໄຣດ	甘油酯
ກລີເຊີໄຣດ	酰基甘油
ກລູຄາກອນ	胰高血糖素
ກລູຕາມີນ	谷氨酰胺
ກລູຕາໄທໂອນ	谷胱甘肽
ກລູທາເມຕດີຄາຣໂບຊີເລຊ	谷氨酸脱羧酶
ກລູທາເມຕແອມໂມເນຍໄລເກຊ	谷氨酸氨合成酶
ກລູທາໄມນຊິນທິເທຊ	谷氨酰胺合成酶
ກລູທາໄມນຊິນທິເທຊ	谷氨酸氨合成酶
ກລູເຕນິນ	麦谷蛋白
ກລູເຕລິນ	谷蛋白
ກລູເທນ	麸质
ກລູໂຄຄໍຣ໌ທີຄອຍ	糖皮质激素
ກລູໂຄຊິເດຊ	葡糖苷酶
ກລູໂຄສອ໋ອກຊິເດຊ	葡糖氧化酶
ກວດກາການຖືພາທາງຮູທະວານ	妊娠诊断
ກວດກາການຖືພາທາງຮູທະວານ	直肠检查
ກວດກ່າຍເອົາ	扫描
ກວດຄໍາໂດຍອິງໃສ່ການອະທິບາຍ	上下文拼写检查
ກວດຄໍາໂດຍອິງໃສ່ການອະທິບາຍ	关联式拼字检查
ກວດຊື່	检查姓名
ກວດຊື່	检查名称
ກວດສອບຄືນ	编译
ກວດແກ້ບ່ອນຜິດ	侦错
ກວດແກ້ບ່ອນຜິດ	调试
ກວນ	果酱
ກວມເອົາ	盖
ກວມເອົາ	盖子
ກວມເອົາ	罩
ກວາງ	鹿科
ກວາງຄາຣີບູ	驯鹿
ກວາງຄາຣີບູ	驯鹿属
ກວາງຄໍຍາວ	长颈鹿
ກວາງຊະນິດໃຫຍ່	驼鹿
ກວາງຊີກາ	梅花鹿
ກວາງຕຸ້ງ	广东
ກວາງນ້ອຍ	小鹿
ກວາງຫາງຂາວ	白尾鹿
ກວາງຫາງຂາວ	维基尼亚鹿
ກວາງອະເມລະກາເຫນືອ	黑尾鹿
ກວາງອາເມລິກາ	马鹿
ກວາງເຣັນເດຍ	驯鹿
ກວາງແດງ	马鹿
ກວານ	法官
ກວານ	裁判官
ກວຽນ	马车
ກວ້າງ	宽
ກວ້າງ	宽广
ກວ້າງ	宽阔
ກວ້າງຂວາງອອກ	全域
ກວ້າງຂວາງອອກ	全局
ກອກ	烟斗
ກອກຢາ	卷烟
ກອກຢາ	捲烟
ກອກຢາ	烟
ກອກຢາ	纸烟
ກອກຢາ	香烟
ກອກຢາຊິກາ	卷烟
ກອກຢາຊິກາ	吸用烟草
ກອກຢາຊິກາ	嚼烟
ກອກຢາຊິກາ	烟草
ກອກຢາຊິກາ	雪茄烟
ກອກຢາຊິກາ	鼻烟
ກອກຢາສູບ	卷烟
ກອກຢາສູບ	吸用烟草
