ເຍຊູ 耶稣
ເຢໂຫວາ 耶和华
ຊົດ 赎罪
ສະມິດ 斯密
ວາລະສານ 杂志
ມາລີ 马利亚
ທູດ 天使
ດາວິດ 大卫
ແຜນ 计划
ແອວ 阿尔玛
ໂປໂລ 保罗
ອັບລາຫາມ 亚伯拉罕
ລາມັນ 希
ເຄາະ 慈助会
ຟາລິຊຽນ 法利赛
ພຣະບັນຍັດ 诫命
ປອດ 安全
ຊັກຄາຍ 撒该
ສາຂາ 分部
ຊາອຶເລ 扫罗
ກະຕັນຍູ 感激
ໂຣ 摩罗
ແດນ 船员
ໂຍ 船员
ເສືອ 船舵
ສາຂາ 办事处
ຜະ 印证
ບໍລິຈາກ 捐款
ໄຮ 李海
ຟາໂລ 法老
• ●
ກໍາມະການ 中央
ຄະນະ 中央
ແລນ 兰登
ຕົບມື 掌声
ໂລບ 贪婪
ລາມົກ 色情
ຢັງ 杨百翰
ບຣິກໍາ 杨百翰
ຕົວະ 谎言
ພັບ 传单
ຣັດ 罗素
ວ 罗素
ກະວີ 诗人
ປິ 欢欣
ບັນເທີງ 娱乐
ຕໍາຫນິ 谴责
ສະເປນ 西班牙
ປລາດສະມາ 血浆
ປັດສະຄາ 逾越节
ໂງ່ 愚蠢
ເມດ 慈悲
ເດື່ອ 无花果树
ອັນດະເລອາ 安得烈
ຄາລິເລ 加利利
ອາມ 艾摩龙
ໂນເອ 挪亚
